"class","method","reference.x","set","precision","recall","f1","accuracy","reference.y","full_precision","full_recall","full_f1","full_accuracy"
"121","Dendritic cell","ItClust","",1,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"122","Dendritic cell","ItClust","",9,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"123","Dendritic cell","ItClust","",10,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"124","Dendritic cell","ItClust","",11,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"125","Dendritic cell","ItClust","",12,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"126","Dendritic cell","ItClust","",13,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"127","Dendritic cell","ItClust","",14,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"128","Dendritic cell","ItClust","",2,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"129","Dendritic cell","ItClust","",3,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"130","Dendritic cell","ItClust","",4,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"131","Dendritic cell","ItClust","",5,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"132","Dendritic cell","ItClust","",6,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"133","Dendritic cell","ItClust","",7,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"134","Dendritic cell","ItClust","",8,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"135","Dendritic cell","ItClust","",20,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"136","Dendritic cell","ItClust","",16,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"137","Dendritic cell","ItClust","",17,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"138","Dendritic cell","ItClust","",18,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"139","Dendritic cell","ItClust","",15,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"140","Dendritic cell","ItClust","",19,NA,NA,NA,NA,"BoneMarrow",0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"141","Dendritic cell","Seurat","",6,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"142","Dendritic cell","Seurat","",7,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"143","Dendritic cell","Seurat","",8,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"144","Dendritic cell","Seurat","",5,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"145","Dendritic cell","Seurat","",10,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"146","Dendritic cell","Seurat","",11,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"147","Dendritic cell","Seurat","",12,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"148","Dendritic cell","Seurat","",9,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"149","Dendritic cell","Seurat","",1,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"150","Dendritic cell","Seurat","",2,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"151","Dendritic cell","Seurat","",3,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"152","Dendritic cell","Seurat","",4,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"153","Dendritic cell","Seurat","",17,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"154","Dendritic cell","Seurat","",18,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"155","Dendritic cell","Seurat","",19,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"156","Dendritic cell","Seurat","",20,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"157","Dendritic cell","Seurat","",16,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"158","Dendritic cell","Seurat","",13,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"159","Dendritic cell","Seurat","",14,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"160","Dendritic cell","Seurat","",15,NA,NA,NA,NA,"BoneMarrow",0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"161","Dendritic cell","SingleCellNet","",17,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"162","Dendritic cell","SingleCellNet","",18,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"163","Dendritic cell","SingleCellNet","",19,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"164","Dendritic cell","SingleCellNet","",20,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"165","Dendritic cell","SingleCellNet","",5,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"166","Dendritic cell","SingleCellNet","",13,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"167","Dendritic cell","SingleCellNet","",14,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"168","Dendritic cell","SingleCellNet","",15,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"169","Dendritic cell","SingleCellNet","",16,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"170","Dendritic cell","SingleCellNet","",1,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"171","Dendritic cell","SingleCellNet","",2,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"172","Dendritic cell","SingleCellNet","",3,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"173","Dendritic cell","SingleCellNet","",4,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"174","Dendritic cell","SingleCellNet","",9,NA,NA,NA,NA,"BoneMarrow",0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
