"id","reference","CellID","ItClust","Seurat","SingleCellNet","SingleR"
"310","X117450","BoneMarrow",0,0,1,0.9,1
"311","X117493","BoneMarrow",0,0,1,1,1
"312","X117553","BoneMarrow",0,0,1,1,1
"313","X117578","BoneMarrow",0,0,1,1,1
"314","X117641","BoneMarrow",0,0,1,1,1
"315","X117704","BoneMarrow",0,0.5,1,1,0.5
"316","X117748","BoneMarrow",0,0,1,1,1
"317","X117767","BoneMarrow",0,0,1,1,1
"318","X117770","BoneMarrow",1,0,1,1,1
"319","X11779","BoneMarrow",0,0,0.4,1,1
"320","X11790","BoneMarrow",1,0,1,1,1
"321","X117939","BoneMarrow",0,0,0.9,0,1
"322","X117974","BoneMarrow",0,1,1,1,1
"323","X117992","BoneMarrow",1,1,1,1,1
"324","X118000","BoneMarrow",0,0.8,1,1,1
"325","X118171","BoneMarrow",0,0,0.5,0.3,0.9
"326","X118223","BoneMarrow",1,1,1,1,1
"327","X118249","BoneMarrow",0,0,1,1,1
"328","X118316","BoneMarrow",0.15,1,1,1,1
"329","X118425","BoneMarrow",1,1,1,1,1
"330","X118426","BoneMarrow",0.35,1,1,1,1
"331","X118491","BoneMarrow",0.55,1,1,1,1
"332","X118563","BoneMarrow",1,0,1,1,1
"333","X118566","BoneMarrow",0,0,0,0.8,0
"334","X118593","BoneMarrow",0.8,1,1,1,1
"335","X118637","BoneMarrow",1,0,1,1,1
"336","X118640","BoneMarrow",0,0,1,1,1
"337","X118671","BoneMarrow",0,0,1,1,1
"338","X118701","BoneMarrow",0,0,1,1,1
"339","X118734","BoneMarrow",1,1,1,1,1
"340","X118751","BoneMarrow",0,0.2,0.7,0.5,0
"341","X118804","BoneMarrow",1,1,1,1,1
"342","X118839","BoneMarrow",0.5,0,1,1,0.8
"343","X118844","BoneMarrow",0,0,1,1,1
"344","X118872","BoneMarrow",0,1,1,1,0.8
"345","X118934","BoneMarrow",0.05,1,1,1,1
"346","X118967","BoneMarrow",0,1,0,0.8,0
"347","X119027","BoneMarrow",0,0,1,1,1
"348","X119124","BoneMarrow",0,0,1,1,1
"349","X119216","BoneMarrow",1,1,1,1,1
"350","X119257","BoneMarrow",0,0,1,1,1
"351","X119262","BoneMarrow",1,1,1,1,1
"352","X119447","BoneMarrow",1,0,1,1,1
"353","X119564","BoneMarrow",1,0,1,1,1
"354","X119640","BoneMarrow",0,0.7,1,1,1
"355","X11970","BoneMarrow",1,0,1,1,1
"356","X119788","BoneMarrow",0,0,0,0,0
"357","X119996","BoneMarrow",0,0,1,1,1
